stage,id,type,scope,label,operator,target,what,threshold,enabled,source_text
IL,IC-1,include,metadata,The paper reports respiratory sinus arrhythmia OR vagally-mediated heart rate variability as an index of emotion regulation or self-regulation.,llm,"title,abstract,keywords",The paper reports respiratory sinus arrhythmia OR vagally-mediated heart rate variability as an index of emotion regulation or self-regulation.,0.60,1,IC-1 - The paper reports respiratory sinus arrhythmia OR vagally-mediated heart rate variability as an index of emotion regulation or self-regulation.
IH,IC-3,include,metadata,The paper is written in English.,equals,lang,English,,1,IC-3 - The paper is written in English.
IH,IC-4,include,metadata,"The title, abstract, or keywords mention respiratory sinus arrhythmia OR vagal OR heart rate variability.",contains,"title,abstract,keywords",respiratory sinus arrhythmia;vagal;heart rate variability,,1,"IC-4 - The title, abstract, or keywords mention respiratory sinus arrhythmia OR vagal OR heart rate variability."
IH,IC-5,include,metadata,"The title, abstract, or keywords mention emotion OR dysregulation OR child OR adolescent OR youth OR infant.",contains,"title,abstract,keywords",emotion;dysregulation;child;adolescent;youth;infant,,1,"IC-5 - The title, abstract, or keywords mention emotion OR dysregulation OR child OR adolescent OR youth OR infant."
EH,EC-1,exclude,metadata,The paper is written in Portuguese.,equals,lang,Portuguese,,1,EC-1 - The paper is written in Portuguese.
EL,EC-2,exclude,metadata,The paper's primary focus is a numerical or computational method with no human participants.,llm,"title,abstract,keywords",The paper's primary focus is a numerical or computational method with no human participants.,0.60,1,EC-2 - The paper's primary focus is a numerical or computational method with no human participants.
EL,EC-3,exclude,metadata,The paper's primary focus is clinical arrhythmia diagnosis rather than psychological function.,llm,"title,abstract,keywords",The paper's primary focus is clinical arrhythmia diagnosis rather than psychological function.,0.60,1,EC-3 - The paper's primary focus is clinical arrhythmia diagnosis rather than psychological function.
EH,EC-4,exclude,metadata,The publication venue contains “Physical Review” OR “Physics Letters” OR “Bifurcation and Chaos”.,contains,venue,Physical Review;Physics Letters;Bifurcation and Chaos,,1,EC-4 - The publication venue contains “Physical Review” OR “Physics Letters” OR “Bifurcation and Chaos”.
